Title	URL	Assignees	Status	Time estimate	Real time	Labels	Linked pull requests	Milestone	Reviewers	Sprint	Nature	Task Type	Priority	Epics
As a user, I want to use the app whenever I am offline, so that I can see my posts and comments	https://github.com/ProximaEPFL/proxima/issues/245		Sprint Backlog								User stories			
As a user, I want my challenges to appear on a map, so that I can travel to them	https://github.com/ProximaEPFL/proxima/issues/283		Sprint Backlog								User stories			
As a user, I want my posts to appear on a map, so that I can travel back to them and see the interactions that took place on my post.	https://github.com/ProximaEPFL/proxima/issues/306		Sprint Backlog								User stories			
Remove settings button, heatmap chip and badge widget	https://github.com/ProximaEPFL/proxima/issues/297	camillelnne	Sprint Backlog	3h						Sprint 9	Sprint Task			
Submit M3	https://github.com/ProximaEPFL/proxima/issues/304	Aderfish, CHOOSEIT	In Development	1h						Sprint 8	Sprint Task			
Polished demo video	https://github.com/ProximaEPFL/proxima/issues/249	Aderfish	In Development	4h						Sprint 8	Sprint Task			
Add timeout on circular values for offline mode	https://github.com/ProximaEPFL/proxima/issues/278	gruvw	Sprint Backlog	4h						Sprint 9	Sprint Task			
Update challenges on navigation (UI)	https://github.com/ProximaEPFL/proxima/issues/267	camillelnne	Sprint Backlog	4h						Sprint 9	Sprint Task			
Update the progress indicator	https://github.com/ProximaEPFL/proxima/issues/290	CHOOSEIT	Sprint Backlog	2 hours						Sprint 9	Sprint Task			
My challenges on the map	https://github.com/ProximaEPFL/proxima/issues/296	JoachimFavre	Sprint Backlog	4 hours						Sprint 9	Sprint Task			
My posts on the map	https://github.com/ProximaEPFL/proxima/issues/291	JoachimFavre	Sprint Backlog	4 hours						Sprint 9	Sprint Task			
Leaderboard UI	https://github.com/ProximaEPFL/proxima/issues/298	CHOOSEIT	Sprint Backlog	9 hours						Sprint 9	Sprint Task	UI/design		
Leaderboard view model	https://github.com/ProximaEPFL/proxima/issues/299	gruvw	Sprint Backlog	5h						Sprint 9	Sprint Task			
Post pop up on the map on click & navigation 	https://github.com/ProximaEPFL/proxima/issues/292	TheTexanCodeur	Sprint Backlog	8h						Sprint 9	Sprint Task			
Sort comments in the profile page	https://github.com/ProximaEPFL/proxima/issues/300	yoannLafore	Sprint Backlog	6 hours						Sprint 9	Sprint Task			
Sort posts in profile page	https://github.com/ProximaEPFL/proxima/issues/302	yoannLafore	Sprint Backlog	2 hours						Sprint 9	Sprint Task			
Work on the PRD	https://github.com/ProximaEPFL/proxima/issues/303	camillelnne, yoannLafore	Sprint Backlog	4 hours / per						Sprint 9	Sprint Task			
Bug: challenge refresh page after error	https://github.com/ProximaEPFL/proxima/issues/301	Aderfish	Sprint Backlog	2h						Sprint 9	Sprint Task	Bug		
Extend end-to-end tests for challenges and map	https://github.com/ProximaEPFL/proxima/issues/220	Aderfish	Sprint Backlog	4h						Sprint 9	Sprint Task			
Look for bugs in the app	https://github.com/ProximaEPFL/proxima/issues/307	Aderfish	Sprint Backlog	1h30						Sprint 9	Sprint Task			
As a user, I want my profile user avatar to have different colors so that differentiate myself from other user	https://github.com/ProximaEPFL/proxima/issues/246		Done in Sprint 8								User stories			
As a user I want the map to follow me, so that I move freely without manually moving the map	https://github.com/ProximaEPFL/proxima/issues/253		Done in Sprint 8								User stories			
As a user, I want to be able to see the profile page of other users, so that I can compare myself to other users	https://github.com/ProximaEPFL/proxima/issues/243		Done in Sprint 8								User stories			
 As a user, I want to be able to see my comments so that I can review and manage my interactions effectively.	https://github.com/ProximaEPFL/proxima/issues/250		Done in Sprint 8								User stories			
Ranges of refactors and code consistency enforcement in `lib` directory	https://github.com/ProximaEPFL/proxima/issues/238	gruvw	Done in Sprint 8	5h	6h30		https://github.com/ProximaEPFL/proxima/pull/259			Sprint 8	Sprint Task			
Bug fix: challenges query fails when more than 30 posts	https://github.com/ProximaEPFL/proxima/issues/239	CHOOSEIT	Done in Sprint 8	2 hours	2 hours		https://github.com/ProximaEPFL/proxima/pull/261			Sprint 8	Sprint Task	Model	P1	
See user profile when we click on a post	https://github.com/ProximaEPFL/proxima/issues/254	JoachimFavre	Done in Sprint 8	3 hours	2 hours		https://github.com/ProximaEPFL/proxima/pull/273			Sprint 8	Sprint Task	UI/design		
Color of profile picture changes with points	https://github.com/ProximaEPFL/proxima/issues/255	JoachimFavre	Done in Sprint 8	5 hours	7 hours		https://github.com/ProximaEPFL/proxima/pull/271			Sprint 8	Sprint Task	UI/design		
Apply Dart code metrics suggestions	https://github.com/ProximaEPFL/proxima/issues/251	TheTexanCodeur	Done in Sprint 8	2h	4h		https://github.com/ProximaEPFL/proxima/pull/262			Sprint 8	Sprint Task			
Viewmodel to get personal comments	https://github.com/ProximaEPFL/proxima/issues/257	TheTexanCodeur	Done in Sprint 8	6h	6h		https://github.com/ProximaEPFL/proxima/pull/269			Sprint 8	Sprint Task			
Use the logo + integrate splash screen	https://github.com/ProximaEPFL/proxima/issues/230	gruvw	Done in Sprint 8	2h	2h		https://github.com/ProximaEPFL/proxima/pull/266			Sprint 8	Sprint Task	UI/design		
Model to get personal comments	https://github.com/ProximaEPFL/proxima/issues/256	yoannLafore	Done in Sprint 8	5 hours	7 hours		https://github.com/ProximaEPFL/proxima/pull/263			Sprint 8	Sprint Task			
Refactor comment repositories	https://github.com/ProximaEPFL/proxima/issues/277	yoannLafore	Done in Sprint 8	5 hours	13 hours		https://github.com/ProximaEPFL/proxima/pull/276			Sprint 8	Sprint Task			
PRD outline	https://github.com/ProximaEPFL/proxima/issues/248	camillelnne	Done in Sprint 8	4h	4h					Sprint 8	Sprint Task			
Make the Google Map API key secret	https://github.com/ProximaEPFL/proxima/issues/153	Aderfish	Done in Sprint 8	2h	2h		https://github.com/ProximaEPFL/proxima/pull/270			Sprint 8	Sprint Task			
Fix release and apk build signature in CI	https://github.com/ProximaEPFL/proxima/issues/130	Aderfish	Done in Sprint 8	2h	3h		https://github.com/ProximaEPFL/proxima/pull/268			Sprint 8	Sprint Task	Bug		
Map camera follows my position unless I drag manually	https://github.com/ProximaEPFL/proxima/issues/252	camillelnne	Done in Sprint 8	8h	14h		https://github.com/ProximaEPFL/proxima/pull/272			Sprint 8	Sprint Task			
Display near post on the map	https://github.com/ProximaEPFL/proxima/issues/258	CHOOSEIT	Done in Sprint 8	7 hours	14 hours 30 minutes		https://github.com/ProximaEPFL/proxima/pull/265			Sprint 8	Sprint Task	View-model	P0	
Bug: error message on login out from challenges	https://github.com/ProximaEPFL/proxima/issues/217	Aderfish	Done in Sprint 7	1h	2h		https://github.com/ProximaEPFL/proxima/pull/228			Sprint 7	Sprint Task			
Create service for time conversion	https://github.com/ProximaEPFL/proxima/issues/208	gruvw	Done in Sprint 7	4h	4h30		https://github.com/ProximaEPFL/proxima/pull/234			Sprint 7	Sprint Task			
Create viewmodel for adding comments	https://github.com/ProximaEPFL/proxima/issues/224	yoannLafore	Done in Sprint 7	6 hours	5h30		https://github.com/ProximaEPFL/proxima/pull/226			Sprint 7	Sprint Task			
Create the viewmodel for displaying comments	https://github.com/ProximaEPFL/proxima/issues/212	yoannLafore	Done in Sprint 7	5 hours	6 hours		https://github.com/ProximaEPFL/proxima/pull/225			Sprint 7	Sprint Task			
Fix the challenge page crashing when there is no available challenge	https://github.com/ProximaEPFL/proxima/issues/216	JoachimFavre	Done in Sprint 7	30 minutes	30 minutes		https://github.com/ProximaEPFL/proxima/pull/215			Sprint 7	Sprint Task	Bug		
Demo video	https://github.com/ProximaEPFL/proxima/issues/169	Aderfish	Done in Sprint 7	1h	2h					Sprint 6	Sprint Task			
Refresh post feed on post delete	https://github.com/ProximaEPFL/proxima/issues/205	camillelnne	Done in Sprint 7	3h	3h		https://github.com/ProximaEPFL/proxima/pull/219			Sprint 7	Sprint Task			
Fix the profile page UI, to use a card instead of setting the background colour manually	https://github.com/ProximaEPFL/proxima/issues/197	camillelnne	Done in Sprint 7	2h	1h30		https://github.com/ProximaEPFL/proxima/pull/223			Sprint 7	Sprint Task			
Display initials of user in avatar	https://github.com/ProximaEPFL/proxima/issues/213	CHOOSEIT	Done in Sprint 7	5 hours	10 hours		https://github.com/ProximaEPFL/proxima/pull/227			Sprint 7	Sprint Task			
Set up PRD	https://github.com/ProximaEPFL/proxima/issues/236	gruvw	Done in Sprint 7	1h	1h					Sprint 7	Sprint Task			
Form epics and link to user stories	https://github.com/ProximaEPFL/proxima/issues/240	camillelnne, yoannLafore	Done in Sprint 7	1h	1h					Sprint 7	Sprint Task			
The verification of a username and the creation of a new account should be atomic in Firebase	https://github.com/ProximaEPFL/proxima/issues/89		Product Backlog											
As a user, I want to be able to create and join groups, so that I can use the app with my friends.	https://github.com/ProximaEPFL/proxima/issues/285		Product Backlog								User stories			
As a user, I want to see a heatmap of the posts everywhere in the world, so that I can know where to go to see many posts.	https://github.com/ProximaEPFL/proxima/issues/289		Product Backlog								User stories			
Bug when localization is disabled on the challenge page, cannot load challenge even after enabling navigation	https://github.com/ProximaEPFL/proxima/issues/293		Product Backlog											
As a new user, I want to see imediately whether the username I have entered is valid, so I don't lose any time	https://github.com/ProximaEPFL/proxima/issues/88		Product Backlog								User stories			
Make mocks compatible with null argument matchers	https://github.com/ProximaEPFL/proxima/issues/96	Aderfish	Done is Sprint 4	1h	1h		https://github.com/ProximaEPFL/proxima/pull/113			Sprint 4				
Handle error case on circular value	https://github.com/ProximaEPFL/proxima/issues/107	Aderfish	Done is Sprint 4	8h	3h30		https://github.com/ProximaEPFL/proxima/pull/127			Sprint 4				
Create model for upvotes/downvotes	https://github.com/ProximaEPFL/proxima/issues/108	JoachimFavre	Done is Sprint 4	10 hours	9.5 hours		https://github.com/ProximaEPFL/proxima/pull/125			Sprint 4	Sprint Task	Model		
Fix flutter test CI	https://github.com/ProximaEPFL/proxima/issues/123	gruvw	Done is Sprint 4	2h	2h30		https://github.com/ProximaEPFL/proxima/pull/124			Sprint 4				
Clean-up test files	https://github.com/ProximaEPFL/proxima/issues/95	camillelnne	Done is Sprint 4	2h	6h		https://github.com/ProximaEPFL/proxima/pull/122			Sprint 4				
Overflow in top bar "Your Challenges"	https://github.com/ProximaEPFL/proxima/issues/110	camillelnne	Done is Sprint 4	10min	10min	bug	https://github.com/ProximaEPFL/proxima/pull/111			Sprint 4				
Create popup screen to visualize a post/comment in the profile page	https://github.com/ProximaEPFL/proxima/issues/106	CHOOSEIT	Done is Sprint 4	5 hours	6 hours		https://github.com/ProximaEPFL/proxima/pull/115			Sprint 4				
Create viewmodel to get username and centauri points	https://github.com/ProximaEPFL/proxima/issues/105	TheTexanCodeur	Done is Sprint 4	4 hours	5 hours		https://github.com/ProximaEPFL/proxima/pull/120			Sprint 4				
Duplicate key string in profile testing makes test pass when they should not	https://github.com/ProximaEPFL/proxima/issues/119	CHOOSEIT	Done is Sprint 4	10 minutes	10 minutes		https://github.com/ProximaEPFL/proxima/pull/112			Sprint 4		Bug	P0	
Create model function to get the posts of a user	https://github.com/ProximaEPFL/proxima/issues/104	gruvw	Done is Sprint 4	3h	3h30		https://github.com/ProximaEPFL/proxima/pull/121			Sprint 4				
Posts are not updated correctly on refresh	https://github.com/ProximaEPFL/proxima/issues/78	yoannLafore	Done is Sprint 4	8h	10h	bug	https://github.com/ProximaEPFL/proxima/pull/79, https://github.com/ProximaEPFL/proxima/pull/128			Sprint 4				
Create model function to delete posts	https://github.com/ProximaEPFL/proxima/issues/103	gruvw	Done is Sprint 4	1h	1h					Sprint 4				
Fix the build CI	https://github.com/ProximaEPFL/proxima/issues/279	Aderfish	Done in Sprint 8	3h	45min		https://github.com/ProximaEPFL/proxima/pull/280			Sprint 8	Sprint Task	Bug		
